policy_id,policy_label,oracle_policy,target_id,target_label,session_id,round_id,round_index,winner_candidate_id,winner_sampler_role,candidate_count,best_clip,baseline_clip,best_dinov2,baseline_dinov2,winner_oracle_score,winner_carried_forward
full_progress,Full progress-aware policy,clip_margin_mix,mountain_lake,Mountain lake landscape,ses_c97b0b9d2383,rnd_51696cc101d3,2,cand_3a50c51a6667,incumbent,5,0.848083,0.81519,0.377453,0.381557,0.848083,True
full_progress,Full progress-aware policy,clip_margin_mix,mountain_lake,Mountain lake landscape,ses_c97b0b9d2383,rnd_76670258184e,3,cand_d8016820a2df,far_cover_probe,5,0.848083,0.81519,0.426849,0.381557,0.848718,False
full_progress,Full progress-aware policy,clip_margin_mix,mountain_lake,Mountain lake landscape,ses_c97b0b9d2383,rnd_6e1039d4f749,4,cand_452aea04d9cd,incumbent,5,0.831922,0.81519,0.416091,0.381557,0.875,True
full_progress,Full progress-aware policy,clip_margin_mix,mountain_lake,Mountain lake landscape,ses_c97b0b9d2383,rnd_987e1062501d,5,cand_9f33504a3bc6,incumbent,5,0.831922,0.81519,0.428234,0.381557,0.861597,True
full_progress,Full progress-aware policy,clip_margin_mix,mountain_lake,Mountain lake landscape,ses_c97b0b9d2383,rnd_1387d56cd8c5,6,cand_9c82099761f9,far_cover_probe,5,0.842378,0.81519,0.416091,0.381557,0.923271,False
full_progress,Full progress-aware policy,clip_margin_mix,cat_portrait_bw,Black-and-white cat portrait,ses_4965af5696c2,rnd_ef82cbdb4620,1,cand_a03c10c92b06,far_cover_probe,5,0.865962,0.82316,0.586502,0.586502,0.865962,False
full_progress,Full progress-aware policy,clip_margin_mix,cat_portrait_bw,Black-and-white cat portrait,ses_4965af5696c2,rnd_4b9a38833f3d,2,cand_a8fd2ec4caa0,near_cover_probe,5,0.870996,0.82316,0.465566,0.586502,0.965324,False
full_progress,Full progress-aware policy,clip_margin_mix,cat_portrait_bw,Black-and-white cat portrait,ses_4965af5696c2,rnd_d0c97b8e31a9,3,cand_f87baa239428,near_cover_probe,5,0.883094,0.82316,0.465566,0.586502,0.75153,False
full_progress,Full progress-aware policy,clip_margin_mix,cat_portrait_bw,Black-and-white cat portrait,ses_4965af5696c2,rnd_88e554941ce2,4,cand_dc89159f31d9,far_cover_probe,5,0.889356,0.82316,0.377549,0.586502,0.968238,False
full_progress,Full progress-aware policy,clip_margin_mix,cat_portrait_bw,Black-and-white cat portrait,ses_4965af5696c2,rnd_dc0bc116433d,5,cand_9a49dbbfd637,incumbent,5,0.889356,0.82316,0.498401,0.586502,0.889356,True
full_progress,Full progress-aware policy,clip_margin_mix,cat_portrait_bw,Black-and-white cat portrait,ses_4965af5696c2,rnd_ac630a0882b0,6,cand_4db5ec6c4f30,incumbent,5,0.889356,0.82316,0.377549,0.586502,0.889356,True
full_progress,Full progress-aware policy,clip_margin_mix,red_bicycle,Red bicycle street photo,ses_46a2c546df63,rnd_b46184d7d02a,1,cand_98c1404059ec,near_cover_probe,5,0.884408,0.83487,0.711987,0.612857,0.884408,False
full_progress,Full progress-aware policy,clip_margin_mix,red_bicycle,Red bicycle street photo,ses_46a2c546df63,rnd_3042b0e457c5,2,cand_8d52c7e33d6f,near_cover_probe,5,0.902577,0.83487,0.721135,0.612857,0.964607,False
full_progress,Full progress-aware policy,clip_margin_mix,red_bicycle,Red bicycle street photo,ses_46a2c546df63,rnd_8cbb2459c2b4,3,cand_71e5c753a710,far_cover_probe,5,0.902577,0.83487,0.721135,0.612857,0.882908,False
full_progress,Full progress-aware policy,clip_margin_mix,red_bicycle,Red bicycle street photo,ses_46a2c546df63,rnd_e465a4e869c5,4,cand_bbf0871565f0,incumbent,5,0.899273,0.83487,0.703927,0.612857,0.867865,True
full_progress,Full progress-aware policy,clip_margin_mix,red_bicycle,Red bicycle street photo,ses_46a2c546df63,rnd_8933fb26219d,5,cand_a77f2757140f,near_cover_probe,5,0.914882,0.83487,0.703927,0.612857,0.883262,False
full_progress,Full progress-aware policy,clip_margin_mix,red_bicycle,Red bicycle street photo,ses_46a2c546df63,rnd_28709f94a198,6,cand_b8fe5d29b4be,incumbent,5,0.914882,0.83487,0.69353,0.612857,0.914882,True
