slice_id,policy_id,policy_label,target_id,target_label,session_id,round_id,round_index,winner_candidate_id,best_candidate_score,best_seen_score,baseline_score,feedback_mode,sampler,updater
sampler_slice,diversity_shell,Diversity shell,cat_portrait_bw,Black-and-white cat portrait,ses_72189e5a0f44,rnd_203e21532566,3,cand_b46806b11936,0.889121,0.889121,0.812058,winner_only,diversity_shell,linear_preference
sampler_slice,diversity_shell,Diversity shell,cat_portrait_bw,Black-and-white cat portrait,ses_72189e5a0f44,rnd_fe3ff91fb4cb,4,cand_bbd19a429e99,0.889121,0.889121,0.812058,winner_only,diversity_shell,linear_preference
sampler_slice,diversity_shell,Diversity shell,cat_portrait_bw,Black-and-white cat portrait,ses_72189e5a0f44,rnd_3f1413c66808,5,cand_233f601987ee,0.891219,0.891219,0.812058,winner_only,diversity_shell,linear_preference
sampler_slice,line_search,Line search,cat_portrait_bw,Black-and-white cat portrait,ses_250f143f2b3a,rnd_b6c16958ce5a,1,cand_367e90a31c46,0.864083,0.864083,0.8395,winner_only,line_search,linear_preference
sampler_slice,line_search,Line search,cat_portrait_bw,Black-and-white cat portrait,ses_250f143f2b3a,rnd_8dd0268dbea9,2,cand_6381c967ad34,0.864083,0.864083,0.8395,winner_only,line_search,linear_preference
sampler_slice,line_search,Line search,cat_portrait_bw,Black-and-white cat portrait,ses_250f143f2b3a,rnd_e839eccfb791,3,cand_42cceb5262dc,0.870686,0.870686,0.8395,winner_only,line_search,linear_preference
sampler_slice,line_search,Line search,cat_portrait_bw,Black-and-white cat portrait,ses_250f143f2b3a,rnd_491d4948b9c5,4,cand_15702ac1d99e,0.877086,0.877086,0.8395,winner_only,line_search,linear_preference
sampler_slice,line_search,Line search,cat_portrait_bw,Black-and-white cat portrait,ses_250f143f2b3a,rnd_e243407ef490,5,cand_aed3b7b80b76,0.877086,0.877086,0.8395,winner_only,line_search,linear_preference
feedback_slice,winner_average_winner_only,Winner average + winner only,cat_portrait_bw,Black-and-white cat portrait,ses_4bcce821b231,rnd_2bcc83ee9e7f,1,cand_482667f07a48,0.861059,0.861059,0.852753,winner_only,exploit_orthogonal,winner_average
feedback_slice,winner_average_winner_only,Winner average + winner only,cat_portrait_bw,Black-and-white cat portrait,ses_4bcce821b231,rnd_ba4a0dfda7fa,2,cand_e4663b2e130a,0.861059,0.861059,0.852753,winner_only,exploit_orthogonal,winner_average
feedback_slice,winner_average_winner_only,Winner average + winner only,cat_portrait_bw,Black-and-white cat portrait,ses_4bcce821b231,rnd_f518594d7038,3,cand_11264acb9a7f,0.861059,0.861059,0.852753,winner_only,exploit_orthogonal,winner_average
feedback_slice,winner_average_winner_only,Winner average + winner only,cat_portrait_bw,Black-and-white cat portrait,ses_4bcce821b231,rnd_63be4f91fd1b,4,cand_0258ef47cb4f,0.861059,0.861059,0.852753,winner_only,exploit_orthogonal,winner_average
feedback_slice,winner_average_winner_only,Winner average + winner only,cat_portrait_bw,Black-and-white cat portrait,ses_4bcce821b231,rnd_c9c77b4d7c7e,5,cand_89dc593230f1,0.861059,0.861059,0.852753,winner_only,exploit_orthogonal,winner_average
feedback_slice,linear_winner_only,Linear preference + winner only,cat_portrait_bw,Black-and-white cat portrait,ses_cd45a4778dc1,rnd_5b71f5e51335,1,cand_6c9bc446c762,0.854875,0.854875,0.854875,winner_only,exploit_orthogonal,linear_preference
feedback_slice,linear_winner_only,Linear preference + winner only,cat_portrait_bw,Black-and-white cat portrait,ses_cd45a4778dc1,rnd_f5a15b637a16,2,cand_62c063a56552,0.854875,0.854875,0.854875,winner_only,exploit_orthogonal,linear_preference
feedback_slice,linear_winner_only,Linear preference + winner only,cat_portrait_bw,Black-and-white cat portrait,ses_cd45a4778dc1,rnd_dfeaca5dc85b,3,cand_4e43d506b0c8,0.875571,0.875571,0.854875,winner_only,exploit_orthogonal,linear_preference
feedback_slice,linear_winner_only,Linear preference + winner only,cat_portrait_bw,Black-and-white cat portrait,ses_cd45a4778dc1,rnd_e40205fd1851,4,cand_af413d62e927,0.875571,0.875571,0.854875,winner_only,exploit_orthogonal,linear_preference
feedback_slice,linear_winner_only,Linear preference + winner only,cat_portrait_bw,Black-and-white cat portrait,ses_cd45a4778dc1,rnd_4c1006dec0cd,5,cand_c9a88b5109f2,0.875571,0.875571,0.854875,winner_only,exploit_orthogonal,linear_preference
feedback_slice,score_weighted_scalar,Score-weighted + scalar ratings,cat_portrait_bw,Black-and-white cat portrait,ses_80c9aa6228f6,rnd_84271a0298c9,1,cand_502570e1a0f7,0.844343,0.844343,0.838019,scalar_rating,exploit_orthogonal,score_weighted_preference
feedback_slice,score_weighted_scalar,Score-weighted + scalar ratings,cat_portrait_bw,Black-and-white cat portrait,ses_80c9aa6228f6,rnd_ae24e60978ce,2,cand_97523e3ba23b,0.864449,0.864449,0.838019,scalar_rating,exploit_orthogonal,score_weighted_preference
feedback_slice,score_weighted_scalar,Score-weighted + scalar ratings,cat_portrait_bw,Black-and-white cat portrait,ses_80c9aa6228f6,rnd_ce2aee92e6ad,3,cand_fd3a0bbd4d99,0.874385,0.874385,0.838019,scalar_rating,exploit_orthogonal,score_weighted_preference
feedback_slice,score_weighted_scalar,Score-weighted + scalar ratings,cat_portrait_bw,Black-and-white cat portrait,ses_80c9aa6228f6,rnd_521652409052,4,cand_bd15cce0999a,0.874385,0.874385,0.838019,scalar_rating,exploit_orthogonal,score_weighted_preference
feedback_slice,score_weighted_scalar,Score-weighted + scalar ratings,cat_portrait_bw,Black-and-white cat portrait,ses_80c9aa6228f6,rnd_7b89fac91943,5,cand_17543141c252,0.878293,0.878293,0.838019,scalar_rating,exploit_orthogonal,score_weighted_preference
feedback_slice,contrastive_top_k,Contrastive + top-k ranking,cat_portrait_bw,Black-and-white cat portrait,ses_a3b76b27b61b,rnd_b13f6a8fb919,1,cand_364af5494d93,0.850575,0.850575,0.850575,top_k,exploit_orthogonal,contrastive_preference
feedback_slice,contrastive_top_k,Contrastive + top-k ranking,cat_portrait_bw,Black-and-white cat portrait,ses_a3b76b27b61b,rnd_587b23113c8e,2,cand_b626a62bab21,0.867682,0.867682,0.850575,top_k,exploit_orthogonal,contrastive_preference
feedback_slice,contrastive_top_k,Contrastive + top-k ranking,cat_portrait_bw,Black-and-white cat portrait,ses_a3b76b27b61b,rnd_ed739d55f231,3,cand_eb11dac3d588,0.872001,0.872001,0.850575,top_k,exploit_orthogonal,contrastive_preference
feedback_slice,contrastive_top_k,Contrastive + top-k ranking,cat_portrait_bw,Black-and-white cat portrait,ses_a3b76b27b61b,rnd_66c419303296,4,cand_a48ae870ca2c,0.872001,0.872001,0.850575,top_k,exploit_orthogonal,contrastive_preference
feedback_slice,contrastive_top_k,Contrastive + top-k ranking,cat_portrait_bw,Black-and-white cat portrait,ses_a3b76b27b61b,rnd_edbe518cc322,5,cand_e96f75149450,0.872001,0.872001,0.850575,top_k,exploit_orthogonal,contrastive_preference
